gene_id	go_id	evidence	qualifier	go_term
2	GO:0001869	IDA	involved_in	negative regulation of complement activation, lectin pathway
14	GO:0014909	IEP	involved_in	smooth muscle cell migration
15	GO:0006474	IDA	involved_in	N-terminal protein amino acid acetylation
15	GO:0007623	IMP	involved_in	circadian rhythm
15	GO:0030187	IDA	involved_in	melatonin biosynthetic process
15	GO:0071320	IDA	involved_in	cellular response to cAMP
16	GO:0006419	IDA	involved_in	alanyl-tRNA aminoacylation
18	GO:0009448	IDA	involved_in	gamma-aminobutyric acid metabolic process
19	GO:0007040	IDA	involved_in	lysosome organization
19	GO:0007186	IMP	involved_in	G protein-coupled receptor signaling pathway
19	GO:0007189	IMP	involved_in	adenylate cyclase-activating G protein-coupled receptor signaling pathway
19	GO:0008203	IDA	involved_in	cholesterol metabolic process
19	GO:0009306	IMP	involved_in	protein secretion
19	GO:0016197	IDA	involved_in	endosomal transport
19	GO:0023061	IMP	involved_in	signal release
19	GO:0032367	IMP	involved_in	intracellular cholesterol transport
19	GO:0032489	IMP	involved_in	regulation of Cdc42 protein signal transduction
19	GO:0033344	IDA	involved_in	cholesterol efflux
19	GO:0033344	IGI	involved_in	cholesterol efflux
19	GO:0033344	IMP	involved_in	cholesterol efflux
19	GO:0033700	IDA	involved_in	phospholipid efflux
19	GO:0033700	IGI	involved_in	phospholipid efflux
19	GO:0033700	IMP	involved_in	phospholipid efflux
19	GO:0034380	IMP	involved_in	high-density lipoprotein particle assembly
19	GO:0034616	IDA	involved_in	response to laminar fluid shear stress
19	GO:0042632	IDA	involved_in	cholesterol homeostasis
19	GO:0043691	IMP	involved_in	reverse cholesterol transport
19	GO:0045332	IDA	involved_in	phospholipid translocation
19	GO:0055091	IMP	involved_in	phospholipid homeostasis
19	GO:0060155	IMP	involved_in	platelet dense granule organization
20	GO:0006357	IDA	involved_in	regulation of transcription by RNA polymerase II
20	GO:0010872	IDA	acts_upstream_of	regulation of cholesterol esterification
20	GO:0010872	IMP	acts_upstream_of	regulation of cholesterol esterification
20	GO:0032383	IMP	involved_in	regulation of intracellular cholesterol transport
20	GO:0032384	IDA	acts_upstream_of	negative regulation of intracellular cholesterol transport
20	GO:0032805	IDA	acts_upstream_of	positive regulation of low-density lipoprotein particle receptor catabolic process
20	GO:0042632	IEP	involved_in	cholesterol homeostasis
20	GO:0042986	IDA	involved_in	positive regulation of amyloid precursor protein biosynthetic process
20	GO:0045540	IDA	NOT involved_in	regulation of cholesterol biosynthetic process
20	GO:0046512	IDA	acts_upstream_of_positive_effect	sphingosine biosynthetic process
20	GO:0048545	IEP	involved_in	response to steroid hormone
20	GO:0070723	IEP	involved_in	response to cholesterol
20	GO:0071072	IDA	involved_in	negative regulation of phospholipid biosynthetic process
20	GO:0090155	IDA	involved_in	negative regulation of sphingolipid biosynthetic process
20	GO:0090156	IDA	involved_in	cellular sphingolipid homeostasis
20	GO:0090370	IDA	acts_upstream_of	negative regulation of cholesterol efflux
20	GO:0099040	IDA	involved_in	ceramide translocation
20	GO:0150110	IDA	acts_upstream_of	negative regulation of cholesterol esterification
20	GO:1901873	IMP	acts_upstream_of	regulation of post-translational protein modification
20	GO:1902004	IMP	acts_upstream_of	positive regulation of amyloid-beta formation
20	GO:1902993	IGI	acts_upstream_of	positive regulation of amyloid precursor protein catabolic process
20	GO:1902993	IMP	acts_upstream_of	positive regulation of amyloid precursor protein catabolic process
20	GO:1905598	IDA	acts_upstream_of	negative regulation of low-density lipoprotein receptor activity
20	GO:1905601	IDA	acts_upstream_of	negative regulation of receptor-mediated endocytosis involved in cholesterol transport
21	GO:0006855	IMP	involved_in	xenobiotic transmembrane transport
21	GO:0010875	IMP	involved_in	positive regulation of cholesterol efflux
21	GO:0015914	IMP	involved_in	phospholipid transport
21	GO:0032464	IDA	involved_in	positive regulation of protein homooligomerization
21	GO:0042908	IMP	involved_in	xenobiotic transport
21	GO:0046470	IMP	involved_in	phosphatidylcholine metabolic process
21	GO:0046618	IMP	involved_in	xenobiotic export
21	GO:0150172	IMP	involved_in	regulation of phosphatidylcholine metabolic process
21	GO:1902995	IMP	involved_in	positive regulation of phospholipid efflux
21	GO:2001140	IMP	involved_in	positive regulation of phospholipid transport
22	GO:0006879	IMP	involved_in	cellular iron ion homeostasis
22	GO:0034755	IDA	involved_in	iron ion transmembrane transport
22	GO:0055072	IMP	involved_in	iron ion homeostasis
22	GO:0070455	IMP	involved_in	positive regulation of heme biosynthetic process
22	GO:0140466	IMP	involved_in	iron-sulfur cluster export from the mitochondrion
22	GO:1903331	IMP	involved_in	positive regulation of iron-sulfur cluster assembly
24	GO:0042574	IDA	involved_in	retinal metabolic process
24	GO:0045332	IDA	involved_in	phospholipid translocation
25	GO:0001934	IMP	involved_in	positive regulation of protein phosphorylation
25	GO:0006468	IMP	involved_in	protein phosphorylation
25	GO:0006974	IDA	involved_in	cellular response to DNA damage stimulus
25	GO:0006975	IDA	involved_in	DNA damage induced protein phosphorylation
25	GO:0006979	IGI	acts_upstream_of_or_within	response to oxidative stress
25	GO:0007204	IMP	acts_upstream_of_or_within	positive regulation of cytosolic calcium ion concentration
25	GO:0007229	IMP	involved_in	integrin-mediated signaling pathway
25	GO:0010595	IMP	involved_in	positive regulation of endothelial cell migration
25	GO:0018108	IDA	involved_in	peptidyl-tyrosine phosphorylation
25	GO:0018108	IMP	involved_in	peptidyl-tyrosine phosphorylation
25	GO:0030516	IMP	involved_in	regulation of axon extension
25	GO:0031113	IMP	involved_in	regulation of microtubule polymerization
25	GO:0032489	IMP	involved_in	regulation of Cdc42 protein signal transduction
25	GO:0032956	IMP	involved_in	regulation of actin cytoskeleton organization
25	GO:0035791	IMP	involved_in	platelet-derived growth factor receptor-beta signaling pathway
25	GO:0038083	IMP	involved_in	peptidyl-tyrosine autophosphorylation
25	GO:0038189	IMP	involved_in	neuropilin signaling pathway
25	GO:0042770	IDA	involved_in	signal transduction in response to DNA damage
25	GO:0043065	IDA	involved_in	positive regulation of apoptotic process
25	GO:0043542	IMP	involved_in	endothelial cell migration
25	GO:0045184	IMP	involved_in	establishment of protein localization
25	GO:0046777	IDA	involved_in	protein autophosphorylation
25	GO:0050731	IDA	involved_in	positive regulation of peptidyl-tyrosine phosphorylation
25	GO:0051353	IDA	involved_in	positive regulation of oxidoreductase activity
25	GO:0051444	IDA	acts_upstream_of_or_within	negative regulation of ubiquitin-protein transferase activity
25	GO:0051496	IMP	involved_in	positive regulation of stress fiber assembly
25	GO:0051894	IMP	involved_in	positive regulation of focal adhesion assembly
25	GO:0070301	IDA	involved_in	cellular response to hydrogen peroxide
25	GO:0071103	IDA	involved_in	DNA conformation change
25	GO:0071901	IDA	involved_in	negative regulation of protein serine/threonine kinase activity
25	GO:1900026	IMP	involved_in	positive regulation of substrate adhesion-dependent cell spreading
25	GO:1900275	IMP	acts_upstream_of_or_within	negative regulation of phospholipase C activity
25	GO:1904528	IMP	involved_in	positive regulation of microtubule binding
25	GO:1904531	IMP	involved_in	positive regulation of actin filament binding
25	GO:1990051	IDA	involved_in	activation of protein kinase C activity
25	GO:2000251	IMP	involved_in	positive regulation of actin cytoskeleton reorganization
25	GO:2001020	IDA	involved_in	regulation of response to DNA damage stimulus
26	GO:0009445	IMP	involved_in	putrescine metabolic process
26	GO:0035874	IDA	involved_in	cellular response to copper ion starvation
26	GO:0046677	IDA	involved_in	response to antibiotic
26	GO:0071280	IDA	involved_in	cellular response to copper ion
26	GO:0071420	IDA	involved_in	cellular response to histamine
26	GO:0097185	IDA	involved_in	cellular response to azide
27	GO:0007204	IMP	acts_upstream_of_or_within	positive regulation of cytosolic calcium ion concentration
27	GO:0010863	IMP	acts_upstream_of_or_within	positive regulation of phospholipase C activity
27	GO:0010976	IMP	involved_in	positive regulation of neuron projection development
27	GO:0018108	IDA	involved_in	peptidyl-tyrosine phosphorylation
27	GO:0051353	IDA	involved_in	positive regulation of oxidoreductase activity
27	GO:0071300	IMP	involved_in	cellular response to retinoic acid
29	GO:0090630	IDA	involved_in	activation of GTPase activity
30	GO:0000038	IMP	involved_in	very long-chain fatty acid metabolic process
30	GO:0006635	IMP	involved_in	fatty acid beta-oxidation
30	GO:0008206	IMP	involved_in	bile acid metabolic process
32	GO:0006084	IDA	involved_in	acetyl-CoA metabolic process
32	GO:0051289	IDA	involved_in	protein homotetramerization
34	GO:0006635	IMP	involved_in	fatty acid beta-oxidation
34	GO:0019254	IMP	involved_in	carnitine metabolic process, CoA-linked
34	GO:0033539	IDA	involved_in	fatty acid beta-oxidation using acyl-CoA dehydrogenase
34	GO:0033539	IMP	involved_in	fatty acid beta-oxidation using acyl-CoA dehydrogenase
34	GO:0045329	IMP	involved_in	carnitine biosynthetic process
34	GO:0051791	IDA	involved_in	medium-chain fatty acid metabolic process
34	GO:0051793	IDA	involved_in	medium-chain fatty acid catabolic process
35	GO:0033539	IDA	involved_in	fatty acid beta-oxidation using acyl-CoA dehydrogenase
